Text,label
three months of unfair incarceration the state repression has known no bound innumerable activists and students have been jailed since then free all political prisoners reject caa nrc npr repeal uapa abrogate nsa sharjeelimam uapa aisa,1
.@seattletimes covered Councilmember @cmkshama's resolution denouncing India's National Register of Citizens (NRC) and Citizenship Amendment Act (CAA). https://t.co/ZMimSFZmjm,1
Gujarat Assembly to move a motion to support Citizen Amendment Act (#CAA) in one day special session today.,0
a huge rally in support of caa npr nrc in mumbai india indiawelcomenpr npr caa,0
on internationalwomensday made art of my words as indian women artists what we want is an end to caa nrc hindu terror amp atrocities like the delhipolice abetted delhiriots the time is long past to claim notinmyname this is a long sustained fight step in,1
#IndiaSupportsCAA Citizenship Amendment Act does justice to those who were denied for decades! It gives rights to the disempowered &amp; does not affect the rights of Indian citizens at all. @narendramodi @AmitShah @JPNadda @PavanRanaRSS @jairamthakurbjp @chetanbragta @RahulDogra1702,0
in surat anti caa nrc people misbehaved with asha workers who were there for survey related to covid area name madni nagar vasim nagar rahemat nagar nurani nagar tirupati nagar m populated they accused them of collecting data for caa nrc you know who are they,2
"Itâ€™s the biggest rumour in this country that govt will seek paper from all Muslims of India (NRC, CAA): @NupurSharmaBJP, National Spokesperson, BJP, tells Navika Kumar on @thenewshour. | #ModiPollPhotoTruth https://t.co/vgEMlk8Tcw",2
so scindiaresigns and finally joins bjp that means he also endorses delhi pogrom caa nrc rabid nationalism hindutva obvious yes but exposes how opportunity can over ride ideology unreliable and dangerous jyotiradityamscindia scindiadumpscongress,2
Smt @priyankagandhi &amp; senior leaders of the Congress party are present at India Gate right now to protest the unconstitutional Citizenship Amendment Act &amp; violence against students. We urge all citizens to join the peaceful demonstration. #BJPBurningBharat https://t.co/jEv2ef3dJ4,1
as much as the godi media and the government tries to push forward the narrative that anti caa nrc npr is shattered it is absolutely not true on the contrary the movement has only been gaining momentum it s moving forward enthusiastic and kicking anekrangkeshaheenbagh,1
sharjeel imam is an iit graduate and a research scholar of jnu who has been at the forefront of anti caa nrc protests in delhi he was arrested on th january and has been behind bars forthe past days revoke charges free sharjeel imam releasesharjeelimam,2
modi used deshwasiyon and not nagrikon no caa no nrc,1
rssterrorists rssharmingreligionpeace arbitrary killing of muslims in uttarpradesh by police brutality during caa nrc npr in december,2
Shahi Imam of Delhi’s Jama Masjid on Tuesday cleared air on the confusion in Citizenship Amendment Act and National Register of Citizens https://t.co/IyVcX3YMcr,0
People: Citizen Amendment Act - Sign the Petition! https://t.co/jzRXpNQTbT via @ChangeOrg_India,2
watched debate on caa nrc and npr tlin delhi assembly today they were amazing so happy i played a part in getting such fabulous youth elected watching these people gives you hope amp faith that our country amp politics is in good hands,2
Citizenship Amendment Act does justice to those who were denied for decades! It gives rights to the disempowered &amp; does not affect the rights of Indian citizens at all. #IndiaSupportsCAA @BJYMinHP @BJYM @poonam_mahajan @JPNadda @jairamthakurbjp @KapilParmar,0
situation caa nrc protest islamophobia in india,1
any vaccine for these viruses this is why we need caa nrc badly,0
"#ElectionsWithNDTV | ""BJP has proved that they are not serious about CAA. They don't have answers to real issues like unemployment"": Congress Spokesperson Sushmita Dev  NDTV's Ratnadip Choudhury reports  #AssamElections2021 https://t.co/BTUt8uoGIg",2
Citizenship Amendment Act (#CAA) by BJP govt plans to grant citizenship to minorities (except Muslims) from #Afghanistan #Pakistan &amp; #Bangladesh. National Register of Citizens (#NRC) will identify illegal residents. Does this affect SC/ST/NT/OBC? #NRCAgainstReservation,1
Citizenship Amendment Act does justice to those who were denied for decades! It gives rights to the disempowered &amp; does not affect the rights of Indian citizens at all. #IndiaSupportsCAA,0
JAC strongly condemns the crackdown on the peaceful protest organized by the citizens of our country in New Delhi and all over India against the Citizenship Amendment Act #CAA_NRC_Protests #IndiaAgainstCAA_NRC https://t.co/1Q9yRdVIU0,0
"Ahead of Bengal elections, Amit Shah lays down chronology for CAA and coronavirus vaccine https://t.co/4VBYENxyoB",2
Protesters took part in a rally against the Citizenship (Amendment) Act and the National Register of Citizens at Jantar Mantar New Delhi India on Monday 20/2020. #NRC_CAA_Protest #NRC #CAAProtests #jamiamilliaislamia #JamiaProtests #JNUViolence #ShaheenBagh @IndiasMuslims https://t.co/uel91K9QZ3,1
AIIMS Doctors UG students Scientists Nurses stand united against Citizenship Amendment Act. We also condemn the police brutality on innocent students of Jamia &amp; AMU. We pledged to fight against Modi Shah’s oppression on common citizens of India. #RollBackCAA #StandWithJamia https://t.co/qEENNOe0tN,1
release tahir madani sahab a renowned scholar and now became a political prisoner struggling against caa nrc and npr releasetahirmadni releaseallpoliticalprisoners,2
"CAA and #NRC are different issues. #NPR is the third issue. Nobody should fear about the #CAA. NRC hasnâ€™t come and will not come, said Maharashtra Chief Minister #UddhavThackeray. https://t.co/IiM3qbr3pW",0
divine all appeal to all muslim leaders who are not in favor of nrc caa ncr to misguide muslims community who born in india will be in india but who have illegally migrated to our nation must leave this country and you have to support that if you dont you are antinationalist,0
met hon ble governor of telangana smt garu amp submitted memorandum against kcr govt for passing a resolution in telangana assembly against caa npr nrc,1
before the virus the economy was in free fall with unemployment at all time high caa amp nrc divided the country amp crores were on the streets in came the virus amp the unplanned lockdown leaving crs without jobs amp walking back home now everything will be blamed on the virus,1
ocean of shaheen bagh umarkhed shaheenbaghprotests dronephotography caa nrc npr no not never,1
dissent against the unconstitutional caa nrc npr is our right stop witchhunting activists and students fightcoronanotactivists,1
no caa npr nrc shaheenbaghzindahai,1
"Bangladesh Bigotry, CAA Critics Recaliberate | Did Opposition Mislead On CAA? Watch #Viewpoint with @Zakka_Jacob at 5:57 PM only on CNN-News18 https://t.co/IF4fItLqb2",2
330 000 Uighur Muslims are being brutally exploited through sterilization organ harvesting sexual abuse &amp; being forced abandon Islam &amp; India is developing similar camps validated through their proposed Citizen Amendment Act where Muslims are not eligible for citizenship.,1
in december after protests erupted on caa modi had claimed that his government had never discussed any plans to conduct the nrc caa nrc protests via,2
Those opposing the Citizen Amendment Act will hear or sit like Gandhiji's three monkeys https://t.co/fC87aB2f3R,2
"I take some FAQs on CAA. I request everyone to listen to these answers &amp; frame their own independent opinions on govt Many students, even the LGBTQ community, are agitated over #CAA. What's your take on it? Here is my answer. https://t.co/MsOq0yGKVT",2
"#NRC is not an issue. It is an issue of saving Indian citizens; an issue of Punjab, Rajasthan, Gorkhas, tribals, and the marginalised. Our slogan is â€˜bharatiya nagrik bachaoâ€™. Whether it is Christians or Hindus, @AmitShah has crossed the line: @derekobrienmp | #ShahInBengal https://t.co/OqgZVhQFfd",2
“The Congress is spreading lies creating an atmosphere of fear for Muslims over the new law. Citizenship (Amendment) Act neither takes away the rights of Indian citizens nor harms them in any manner ” via @htTweets https://t.co/5rmP9YroBF,0
As regards Citizenship Amendment Act the Indian Govt. at the highest level has clarified that is meant to give citizenship to religiously persecuted refugees and not to take away the citizenship of any Indian. It does not affect the citizenship of Indian citizens of any religion,0
Attended the ‘Meet The Press’ programme at Press Club Sambalpur organised by the Sambalpur Press Club &amp; after a long time had an amazing interaction with the journalists on various local state &amp; national issues including Citizenship Amendment Act &amp; National Register of Citizen. https://t.co/8s6qVD9iQv,2
she claims muslims have up the babri masjid with magnanimity after decades of litigation and a conclusive presentation of evidence that the site was a demolished hindu shrine she again claims that caa nrc is for the purpose of deporting all muslims from india,1
shaheen bagh kondhwa sit in in pune has decided to continue with only women at a time in the face of the coronavirus epidemic a salute to these brave women indiafightscorona caa nrc npr,1
Karnataka: Women protest against Citizenship Amendment Act (CAA) National Register of Citizens (NRC) &amp; National Population Register (NPR) near Bilal Masjid in Bengaluru. https://t.co/if5Q3oNpu9,1
because of corona all the peoples are forgetting npr but bamsef bahujan kranti morcha will not let caa nrc npr to forget thaprilbharatbandh,1
sir as per his fb profile he is a social activist two days back he met anil deshmukh and even maharastra cm he is critics of pm bjp and a supporter of anti nrc amp caa while raj thackeray is supporting caa and nrc,2
Smt. @priyankagandhi &amp; senior leaders of the Congress party are present at India Gate right now to protest the unconstitutional Citizenship Amendment Act &amp; violence against students. We urge all citizens to join the peaceful demonstration. #JamiaProtest #AMU #BJPBurningBharat https://t.co/jtdAebRzsj,1
this sunday lets protest from balconies against this draconian caa nrc npr because this citizenship law is more dangerous than coronavirusoutbreakindia some say will protest from balconies against nrc npr caa during janata curfew the hindu,1
i am with caa npr nrc government should not withdraw,0
Germany banned Islamist org Ansaar International for financing terrorism. The organisation had also sent money to India after Delhi CAA riots https://t.co/Oc3GTjQ4yE,2
indian women leads the incredible india towards peace more power amp strength to them happywomensday india against caa nrc npr,1
And the Citizenship Amendment Act changes NOTHING as far as India’s policy in accepting refugees is concerned. Lots of Muslims from Af-Pak-BD have become Indian citizens and will continue to become so. Indian and foreign media have spread outright lies and calumny. https://t.co/RziIQwlt5R,0
Your lathis and tear gas will not stop us. We'll fight until we die. We reject Citizenship Amendment Act. We reject National Register of Citizens. We reject you. Intifada Inquilab! https://t.co/N6RZ98DDzp,1
51 professors of the Banaras Hindu University carried out a signature drive on 25th December against the National Register of Citizen (NRC) and the Citizenship Amendment Act (CAA) https://t.co/vgM9nZfzVl,1
i spoke to few of the tj influencial persons while protest against caa and nrc least interested and were involved with thier programs and major events locally in thier halqaa own parallel world extremly disturbing theu do not care about suffering around this a cult,2
BJP is going to file chargesheet and arrest all Indian citizens who spoke up against Citizenship Amendment Act.  P.S: Kapil Mishra is free !  Dead Democracy! https://t.co/zUU8rcIJoO,1
adivasis of chaibasa s utadiri came together to protest against the npr nrc and caa as it is against the constitution and adivasis they clearly demanded that jharkhand govt should reject npr stopnprinjharkhand,1
a salute to the eu for raising voice on discriminatory caa euvoteagainstcaa indiaagainstcaa nrc npr worldagainstcaa nrc npr,1
caa is most humanitarian law elected modiji to do such great service to will stay when passed by parliament nrc will also be implemented followed by ucc amp population control bill shaheen baghs can continue no one cares india is not dharamshala,0
Participated in rally along with congress leaders and protesters against Citizenship Amendment Act (CAA) &amp; National Register of Citizens (NRC) at Nagari. I condemn the impose of #CAA &amp; #NRC #CabProtest @IYC @Allavaru @RahulGandhi @AP_pyc @Oommen_Chandy @INCIndia https://t.co/vpobNuTY9o,1
Government of India notifies Citizen Amendment Act  #CAA #CAA2019 @GovtOfIndia_ https://t.co/phZEGw9OLV,2
"#Video | 'Naam #ShaheenBagh Hai' is a poem by Darab Farooqui, dedicated to the protest at Shaheen Bagh, a fountainhead of resistance against #CAA,# NRC and NPR. https://t.co/edowTcg491",1
of course this is not sufficient nrc remains a threat caa is unconstitutional if the amendments suggested by us are carried out then npr by itself is harmless and can not be used for nrc in that case no need to boycott npr rest of the struggle continues,2
constitution is the basis of this nation secularism is part of the basic structure of india s constitution the nrc npr and caa are unconstitutional those pushing these laws are the real anti indians says prof vasanthi devi caa nrc protests resolveagnstnrcgotn,1
"#TimesNowSummit | It is a fact that the Hindu population in Bangladesh has fallen over years: @swapan55, MP, Rajya Sabha tells Rahul Shivshankar on 'Why Link CAA With NRC?' at TIMES NOW SUMMIT 2020. https://t.co/0xIEkS6PXG",2
"Muslim League moves to SC against Modi govtâ€™s order for citizenship to persecuted minorities in 13 districts, calls it â€˜back-door CAAâ€™ https://t.co/hm5uNos2XV",1
"On December 12, 2019, the Modi administration achieved passage of the discriminatory Citizenship (Amendment) Act (CAA). #IndiaThreatForMuslims #PunjabExpo2020 #Ø¯ÙˆØºÙ„ÛŒ_ØµØ",1
"@RahulGandhi Citizenship (Amendment) Act, 2019 is applicable to all of the immigrants who have entered into our country prior to 2014! It is not against any Muslim or other religious minority who are part of this country for years!",0
i salute shaheen bagh women for fighting for heart amp soul of indian republic they have inspired millions across the globe but coz of the serious pandemic threat i request them to suspend the sit in for now our struggle against discriminatory caa npr nrc will continue,1
they only caused nuisance that led to riots killing ppl injuring ppl additionally destruction of public property they do not have any support despite all the above caa npr nrc will stay,0
last year in we have conducted an event at amu on nrc by the title the citizenry test no shortcomings or lockdowneffect can stop us our fight against caa nrc will be resumed as soon as covid crisis becomes normal,1
LIVE: Protest meeting against The Citizenship Amendment Act and National Register of Citizens at Darussalam Hyderabad. #IndiaAgainstCAA_NRC https://t.co/fCwXLVemwf,1
"LIVE | Entry, exit gates of Jaffrabad metro station were closed as an overnight protest by around 500 people, mostly women, against #CAA-#NRC led to blockage of road which connects Seelampur with Maujpur and Yamuna Vihar. Follow for updates: https://t.co/0igTXFFu6Y",2
Congress is carrying out misinformation campaign against Citizen Amendment Act: Amit Shah in Jodhpur  #CitizenshipAmendmentAct #CAA2019 https://t.co/Lkj2bNMNxG,2
situation on caa nrc protest in india islamophobia in india,1
shaheen bagh lady caa nrc is more dangerous than covid,1
i support caa i support nrc i support npr who else are with me indiawelcomenpr,0
"â€˜Why discriminate against OCIs when thereâ€™s CAAâ€™, says SC while allowing OCI candidates to compete for medical seats in open category  https://t.co/xHFQ0Gyzsh",1
after having taken a suo motu cognisance allahabad high court has directed the uttarpradesh govt to take down all hoardings posters with photos amp names of the anti caa protesters who were allegedly involved in destroying public properties caa nrc protests caa nrc npr,2
"#TimesNowSummit | Even non-Cong Govt passed a resolution against NPR because for the 1st time NPR is not under the Census Act. Through NPR, NRC can be created: @jothims, MP, Lok Sabha tells Rahul Shivshankar on 'Why Link CAA With NRC?' at TIMES NOW SUMMIT 2020. https://t.co/9qF3tTm4dv",2
the telangana legislative assembly adopted a resolution against the caa npr and the nrc,1
cpi m delhi welcomes the resolution passed by the state assembly against the implementation of npr nrc delhi joins the long list of states starting with kerala which have categorically stated their opposition against the caa npr nrc by convening special assembly sessions,1
who are you trying to fool ignited shaheenbagh fire cong leaders kept fuelling it now instead of asking protesters to withdraw you re asking government to roll back caa npr nrc you too are a pea brained ass just like pappu caa npr nrc to hoga,0
sharjeel imam is an iit graduate and a research scholar of jnu who has been at the forefront of anti caa nrc protests in delhi he was arrested on th january and has been behind bars for the past days releasesharjeelimam releaseallpoliticalprisoners,2
assam must release all nrc detainees they ve committed no crime will be freed after years in any case per sc order non muslims may get out in any case once caa rules notified no point in keeping any of them detained let them go now please,2
#JustIn – Congress to hold a 'dharna' at Rajghat tomorrow from 2:00 PM to 8 PM against Citizenship Amendment Act and National Register of Citizens. Party's Interim President Sonia Gandhi and Rahul Gandhi to also take part.  #CAAshowdown [File Picture] https://t.co/Li9iqpHTZs,1
delhi joins the list of the assemblies of puducherry punjab madhya pradesh kerala and west bengal in passing resolutions either against caa or nrc or npr,1
Kolkata: Trinamool Congress (TMC) women workers held protest against Citizenship Amendment Act (CAA) National Register of Citizens (NRC) and National Population Register (NPR). #WestBengal https://t.co/nBF6k1ih7g,1
Friendly reminder Citizenship Amendment Act is unconstitutional. It discriminates humans on the lines of religion. If combined with NRC it would persecute Indian citizens. Peaceful and legal anti CAA protests must go on. #RejectCAA_NRC Goodnight. https://t.co/l8mwG3qx3B,1
br abu talha abdal national secretary sio of india delivered speech at public conference against caa nrc and npr hazaribagh city jharkhand revokecaa rejectnrc resistnpr,1
PM Modi reassures citizens on Citizenship Amendment Act 'No Indian has anything to worry regarding this act'  #WION's Bhairavi Singh reports on the development https://t.co/yEAX4PsnCE,0
Political parties of Kerala will come together to protest against the Citizen Amendment Act 2019 on Monday December 16 by organising a hunger strike. Citizen Amendment Act - This is not what the world's largest democracy stood for! #KeralaAgainstCAB https://t.co/Sk8JGyBQoj,1
appealing to the can we take back the caa nrc npr in wake of coronavirus finally because these are nationwide protests we ca not tell the oppressed to behave have some maturity to tell the oppressors to behave,1
@mirakamdar @debhartha @suchitrav @melvillehouse The Citizenship Amendment Act- Indiaâ€™s Nuremberg moment.  Ali 2019 dec.  https://t.co/NhlfYiz0XS,2
@omriceren And you know damn well what he said doesn’t! The act forbids unauthorized citizens from negotiating with foreign govt’s who are in a dispute with the US! This is a private citizen expressing an opinion exercising his 1st Amendment rights! So shut up!,2
@Swamy39 The Citizen Amendment Act 2019 (CAA) – The Facts (PGurus)  The CAA is strictly for the migrants from 3 countries and does not apply to any established Indian citizen!!  Indian National Media has a duty to report only FACTS on CAA to our Janata! 🚩🚩 https://t.co/eVrbGD8v1r,0
an straightforward way to understand video ground report on foreigners tribunals nrc and attendant issues in assam two former foreigners tribunal members judges speak on record that they were fired for not declaring enough people foreigners nrc caa,2
Protest Monitor is our new database that tracks support of &amp; opposition to the Citizenship Amendment Act (#CAA) &amp; the proposed nationwide implementation of the National Register of Citizens (#NRC). We invite you to make this a more robust database: https://t.co/edEZPUlv0Q https://t.co/qSuSk4ggw5,2
Azamgarh: Congress General Secretary Priyanka Gandhi Vadra meets and interacts with protesters holding demonstration against Citizenship Amendment Act (CAA) and National Register of Citizens (NRC) https://t.co/Yu8SRSQjcL,2
"What do issues like article 370, CAA &amp; Bhima Koregaon had to do with farmer protest: Nupur Sharma (@NupurSharmaBJP), Spokesperson, BJP. Chaudhary Savit Malik (@ChSavit), President, Kisan Union responds. Watch #NewsEpicentre with @maryashakil. https://t.co/1N23flIcry",2
A number of Non Residential Indians were deported from Saudi Arabia for protesting against Citizenship Amendment Act and National Register of Citizens reported Arab media https://t.co/MPIqqR8dgp,2
can u pls turn around and advice the same to ppl who re actually protesting ppl shud take care of themselves and try to avoid public gathering also as an educated person u shud know tht only caa is there npr will happen and nrc is nt yet drafted so stop fearmongering,0
after the successful representation of caa nrc and npr resolution by barrister sahab mp hyderabad and janab sahab mla chandrayan gutta gulposhi of janab sahab mla yakutpura and mohammed muzaffer hussain sahab in pics,1
in india a few months ago the bjp government passed a bill to get muslims out of this country caa nrc and npr we raise our voice against this and we will not let this happen imagainstnrc imagainstcaa imagainstnpr,1
Can any one opponent of CItizenship Amendment Act point out what is in the CAA which discriminates against any Indian Citizens ?! Are they protesting for rights of Infiltrators ?! Nation will NOT be silent &amp; helpless to the nonsense &amp; violence spread by these disruptive elements,0
@Khagariya1 @SushilModi Through Citizen Amendment Act our Govt. has exposed in front of the whole world how Hindus are leaving a hellish life in Pakistan Bangladesh &amp; Afghanistan.  #WeSupportCAA &amp; are thankful to Govt. for this Act. https://t.co/2qgjniuMDE,0
women protesting against caa nrc allege they were beaten up by the at mumbaibagh which was followed by a protest at nagpada junction people have blocked the junction demanding suspension for nagpada s ps pi shalini sharma s suspension wesalutemumbaibagh,2
".@OnReality_Check | â€œSaw government make strong statements about the minority community in CAA protests, when this was tried with farmers, the backlash was severe; government was quick to understand,â€",2
I am a citizen of India. I wholeheartedly believe in our Government. 🇮🇳 To show your support to Citizenship Amendment Act 2019 give a missed call on 88662-88662 Have you dialed in yet? Click the below link and save your certificate. https://t.co/57sj0J04r0 #IndiaSupportsCAA https://t.co/C7fMpW18d5,0
"Now, Indian Muslims think that CAA targets them also. We cannot ignore their sentiment,' maintains #AIADMK as the party took a stand against #CAA in its manifesto. BJP has not taken the matter lightly, reports @NikhilaHenry. https://t.co/WY6w0AS9gM",1
Please Give A Missed Call To Support Citizen Amendment Act 2019. #IndiaSupportsCAA https://t.co/GiLIlgoERD,0
yeah those illiterate people who have understood the whole concept of caa nrc npr but ca not understand a basic threat of the virus your and their illiterateracy is apparent now no need to cover it up,2
caa nrc npr,2
no wonder protest over caa npr nrc if nation wide nrc implemented strictly may be over crores illegal staying bangladeshi will be flushed out,0
rahulgandhi talks about corona safety using an un safe and dangerous app that is insecure this app comes under the mha warning and gas categorised zoom as a dangerous app,2
"Did the MHA's affidavit in the #SupremeCourt contradict what PM Modi said in December, that there had been no discussions about the #NRC by the govt?  https://t.co/ccrc6qclAQ",2
shots fired at anti caa nrc protest site in bara gaya three person has been caught and handed over to police bihar caa nrc protests,2
"In a big relief for Dr #KafeelKhan, the #AllahabadHighCourt on 26 August quashed all pending criminal proceedings in connection with an alleged anti-#CAA/#NRC speech delivered by him in 2019. Read more here: https://t.co/P4ix4g4Lq9 https://t.co/TkrOF5XIL4",2
don t have my birth certificate should i die telangana cm kcr slams caa nrc the news minute,1
i appreciate these people who took time to honour a sanitary worker for his devoted service to protect the nation these are the angels who save us from the pandemic by putting their lives in danger to save us and our families,2
they are uighir muslims with voter cards now i bet taking benefits from our tax money while these guys oppose caa nrc npr every sovereign nation needs a citizen register census amp border control,0
hum kagaz dikayenge disregarding social distancing women q up before banks in hyderabad to collect carona relief money what to say about these people and their leaders abusing modi non stop blocking roads against caa nrc but now,1
caa npr nrc communal violence corona virus stay strong times staysafe,2
@YRDeshmukh Battle for Bengal â€“ TIMES NOW-CVoter survey: Important poll issues?  Women Security: 4.9% Corruption: 10.1% CAA/NRC/NPR: 5.2% Migrant Bangladeshis: 0.9% India Upfront Spl Edition with Rahul Shivshankar. | #ModiInBengal https://t.co/S4b85,1
amir mintoee student of amu is an activist involved in relief word post lockdown and before forefront leading as anti nrc and caa he is arrested by up police which is an inhuman activity continously targeting muslim students releaseamirmintoee,2
The controversial &amp; discriminatory Citizenship (Amendment) Act 2019 came into force from today (January 10 2020). WE THE PEOPLE . . . reject any law which discriminate own Citizens. We shall fight We shall Win. #NoToCAA_NPR_NRC #IndiaDoesNotSupportCAA https://t.co/VBcFsBtVga,1
this is not democracy centenarian freedom fighter hs doreswamy said that modi and shah should come down and withdraw caa nrc before people get frustrated and try to mobilize against the govt,1
no caa no nrc no work,1
How does CAA [Citizenship amendment act] benefit existing Indian Citizens ? Please mention one best benefit according to you.Thank you.,2
Senior journalist Bhasha Singh reports from a protest by women and members of the LGBTQI community against the Citizenship Amendment Act the National Register of Citizens and the National Population Register. https://t.co/oHJtjAq550,1
fyi all,2
rajiv ranjan singh of jd u minority community in entire country has been misled on caa pm wants to take the country forward you will be able to do politics only when the country is on what grounds you cong oppose caa when pm has assured it s not linked to nrc,0
things not to lose sight of during the pandemic thousands displaced by delhi pogroms are forced to live in makeshift camps they need your help please donate delhi amp up police continue to harass muslims through detentions arrests and vasooli notices fuck nrc npr amp caa,1
"Rajasthan deputy CM Sachin Pilot accused the BJP of ""doing politics"" over issues like the National Register of Citizens (NRC) and the Citizenship Amendment Act even as the country was going through an ""economic slowdown"" https://t.co/PnNJTSIIk4",2
Deeply anguished with the turn of events occurring across the country with regard to #CAA2019. The Citizenship Amendment Act 2019 is in no way against any Indian citizen or individual. It is extremely important to read it understand it and guard ourselves from misinformation.,0
you speak out you get uapa you keep quiet you get nrc caa and then ministers like naqvi say that india is heaven for muslims huntvirusnotactivists,1
The Vanchit Bahujan Aghadi has called for a bandh across #Maharashtra on January 24 to protest against the Citizenship (Amendment) Act (#CAA) the National Register of Citizens (NRC) and the “wrong” economic policies of the Centre. https://t.co/zIFd7yGhEY,1
in the face of a pandemic the need for equitable justice is most essential defy the communal caa the extortionist nrc the corrupt npr instead demand for universal health care demand for high quality health facilities coronavirus india,2
collector rajgarh who handled the anti caa nrc protests in the most definitive amp robust manner is rewarded by amp transferred as power changes hands loyalties shift this because she had had run ins with prominent bjp leaders bjpnaklinationalism,2
All ongoing protests against Citizenship Amendment Act&amp;National Register for Citizens in different areas of Kolkata including Park Circus to be withdrawn in wake of #CoronaVirus. Protests will continue once the situation turns normal: Moulana Md Shafik Qasmi Imam Nakhuda Mosque,2
Delhi HC rejects plea seeking removal of police barricades from Shaheen Bagh protest area Shaheen Bagh has emerged as the focal point of resistance against the Citizenship Amendment Act (CAA) and the proposed National Register of Citizens (NRC).  https://t.co/wEI5avQxVx,2
“The BJP’s Its anti-minority image and use of religion for electoral gains worries Bangladeshis. While Hindu illegal Bangladeshi migrants are eagerly accommodated as Indian citizens by the Citizenship Amendment Act Muslim illegal migrants are dubbed “termites” ” @Bharatitis,1
easy immedtely quarantine all those lutyens poop journalists who espoused the false narrative of the hyphenation of the caa nd nrc who refuse to believe the pm whn he clearly says tht nrc has not even bn discussed who distort sequence outlined by hm in ls to mean inevitability,0
dear upites you all are very lucky you have survived two mega disasters in last months st during caa nrc drama riots and now corona virus you are lucky cz u have cm like yogi yogiroxx,2
